Date,Symbol,Close,y,pred,pred_chg,act_chg,correct,profit
2018-07-23,NIFTY_50,11084.75,11387.1,10834.77279999999,-249.97720000001027,302.35000000000036,-1,-302.35000000000036
2018-07-24,NIFTY_50,11134.3,11389.45,10743.754999999983,-390.54500000001644,255.15000000000146,-1,-255.15000000000146
2018-07-25,NIFTY_50,11132.0,11450.0,10813.944199999994,-318.05580000000555,318.0,-1,-318.0
2018-07-26,NIFTY_50,11167.3,11470.7,10828.932799999993,-338.36720000000605,303.40000000000146,-1,-303.40000000000146
2018-07-27,NIFTY_50,11278.35,11429.5,10923.262200000006,-355.0877999999939,151.14999999999964,-1,-151.14999999999964
2018-07-30,NIFTY_50,11319.55,11355.75,10911.723000000013,-407.8269999999866,36.20000000000073,-1,-36.20000000000073
2018-07-31,NIFTY_50,11356.5,11435.1,10876.579199999996,-479.9208000000035,78.60000000000036,-1,-78.60000000000036
2018-08-01,NIFTY_50,11346.2,11385.05,10792.743600000002,-553.4563999999991,38.849999999998545,-1,-38.849999999998545
2018-08-02,NIFTY_50,11244.7,11470.75,10934.203599999995,-310.49640000000545,226.04999999999927,-1,-226.04999999999927
2018-08-03,NIFTY_50,11360.8,11551.75,11120.584600000015,-240.21539999998458,190.95000000000073,-1,-190.95000000000073
2018-08-06,NIFTY_50,11387.1,11570.9,11193.352200000012,-193.74779999998827,183.79999999999927,-1,-183.79999999999927
2018-08-07,NIFTY_50,11389.45,11582.75,11194.133200000015,-195.31679999998596,193.29999999999927,-1,-193.29999999999927
2018-08-08,NIFTY_50,11450.0,11557.1,11138.878200000008,-311.1217999999917,107.10000000000036,-1,-107.10000000000036
2018-08-09,NIFTY_50,11470.7,11691.95,11342.08880000001,-128.61119999999028,221.25,-1,-221.25
2018-08-10,NIFTY_50,11429.5,11738.5,11371.23200000001,-58.267999999989115,309.0,-1,-309.0
2018-08-13,NIFTY_50,11355.75,11691.9,11370.820400000008,15.070400000007794,336.14999999999964,1,336.14999999999964
2018-08-14,NIFTY_50,11435.1,11676.8,11371.552000000009,-63.54799999999159,241.6999999999989,-1,-241.6999999999989
2018-08-16,NIFTY_50,11385.05,11680.5,11361.311600000017,-23.738399999981993,295.4500000000007,-1,-295.4500000000007
2018-08-17,NIFTY_50,11470.75,11582.35,11411.404800000008,-59.345199999992474,111.60000000000036,-1,-111.60000000000036
2018-08-20,NIFTY_50,11551.75,11520.3,11472.890600000002,-78.85939999999755,-31.450000000000728,1,31.450000000000728
2018-08-21,NIFTY_50,11570.9,11476.95,11485.702399999991,-85.1976000000086,-93.94999999999891,1,93.94999999999891
2018-08-23,NIFTY_50,11582.75,11536.9,11519.713399999995,-63.03660000000491,-45.850000000000364,1,45.850000000000364
2018-08-24,NIFTY_50,11557.1,11589.1,11533.463800000005,-23.63619999999537,32.0,-1,-32.0
2018-08-27,NIFTY_50,11691.95,11438.1,11606.29580000001,-85.65419999998994,-253.85000000000036,1,253.85000000000036
2018-08-28,NIFTY_50,11738.5,11287.5,11629.760600000003,-108.73939999999675,-451.0,1,451.0
2018-08-29,NIFTY_50,11691.9,11369.9,11624.989399999997,-66.91060000000289,-322.0,1,322.0
2018-08-30,NIFTY_50,11676.8,11515.2,11595.980399999993,-80.81960000000618,-161.59999999999854,1,161.59999999999854
2018-08-31,NIFTY_50,11680.5,11377.75,11650.581999999995,-29.918000000005122,-302.75,1,302.75
2018-09-03,NIFTY_50,11582.35,11278.9,11625.277000000004,42.92700000000332,-303.4500000000007,-1,-303.4500000000007
2018-09-04,NIFTY_50,11520.3,11234.35,11608.709399999989,88.40939999998955,-285.9499999999989,-1,-285.9499999999989
2018-09-05,NIFTY_50,11476.95,11143.1,11629.990199999997,153.04019999999582,-333.85000000000036,-1,-333.85000000000036
2018-09-06,NIFTY_50,11536.9,10967.4,11604.851399999998,67.9513999999981,-569.5,-1,-569.5
2018-09-07,NIFTY_50,11589.1,11067.45,11615.812999999998,26.71299999999792,-521.6499999999996,-1,-521.6499999999996
2018-09-10,NIFTY_50,11438.1,11053.8,11616.667999999992,178.56799999999203,-384.3000000000011,-1,-384.3000000000011
2018-09-11,NIFTY_50,11287.5,10977.55,11605.5784,318.07840000000033,-309.9500000000007,-1,-309.9500000000007
2018-09-12,NIFTY_50,11369.9,10930.45,11589.10479999999,219.20479999999043,-439.4499999999989,-1,-439.4499999999989
2018-09-14,NIFTY_50,11515.2,11008.3,11590.608399999997,75.40839999999662,-506.90000000000146,-1,-506.90000000000146
2018-09-17,NIFTY_50,11377.75,10858.25,11566.817000000008,189.0670000000082,-519.5,-1,-519.5
2018-09-18,NIFTY_50,11278.9,10599.25,11497.50159999999,218.60159999999087,-679.6499999999996,-1,-679.6499999999996
2018-09-19,NIFTY_50,11234.35,10316.45,11447.848200000011,213.4982000000109,-917.8999999999996,-1,-917.8999999999996
2018-09-21,NIFTY_50,11143.1,10348.05,11302.38940000001,159.28940000000875,-795.0500000000011,-1,-795.0500000000011
2018-09-24,NIFTY_50,10967.4,10301.05,11203.253200000016,235.85320000001593,-666.3500000000004,-1,-666.3500000000004
2018-09-25,NIFTY_50,11067.45,10460.1,11181.1502,113.70019999999931,-607.3500000000004,-1,-607.3500000000004
2018-09-26,NIFTY_50,11053.8,10234.65,11220.576000000005,166.7760000000053,-819.1499999999996,-1,-819.1499999999996
2018-09-27,NIFTY_50,10977.55,10472.5,11164.075199999997,186.52519999999822,-505.0499999999993,-1,-505.0499999999993
2018-09-28,NIFTY_50,10930.45,10512.5,11116.764000000001,186.3140000000003,-417.9500000000007,-1,-417.9500000000007
2018-10-01,NIFTY_50,11008.3,10584.75,11130.096200000009,121.79620000000978,-423.5499999999993,-1,-423.5499999999993
2018-10-03,NIFTY_50,10858.25,10453.05,11063.005399999996,204.75539999999637,-405.2000000000007,-1,-405.2000000000007
2018-10-04,NIFTY_50,10599.25,10303.55,10893.928400000003,294.6784000000025,-295.7000000000007,-1,-295.7000000000007
2018-10-05,NIFTY_50,10316.45,10245.25,10469.566599999996,153.11659999999574,-71.20000000000073,-1,-71.20000000000073
2018-10-08,NIFTY_50,10348.05,10146.8,10309.232000000004,-38.81799999999566,-201.25,1,201.25
2018-10-09,NIFTY_50,10301.05,10224.75,10297.064199999999,-3.9858000000003813,-76.29999999999927,1,76.29999999999927
